Candidate,Morgan-AAC,Morgan-Quasi-seq,Morgan-CNN,Morgan-GRU,Morgan-LSTM,Morgan-Transformer,PubChem-AAC,PubChem-Transformer,RDKit-2D-Transformer
ZINC8215434,5.944,5.811,5.71,5.271,5.098,5.68,4.624,4.627,5.129
ZINC95617639,6.093,5.967,6.112,5.556,5.527,5.83,5.252,5.648,6.747
ZINC8215403,5.641,5.374,5.372,5.115,5.081,5.72,4.839,5.443,4.915
ZINC3914596,5.485,5.303,5.283,5.164,5.105,5.56,4.899,5.255,5.494
ZINC14768621,5.315,5.078,5.026,5.087,5.081,5.83,5.813,6.58,5.111
ZINC11616925,5.549,5.348,5.395,5.099,5.092,5.63,5.208,5.746,5.178
ZINC4215255,5.764,5.575,5.528,5.28,5.255,5.77,4.782,5.229,5.92
ZINC2036915,5.459,5.182,5.264,5.179,5.092,5.69,5.543,6.054,5.177
ZINC1536109,5.549,5.348,5.395,5.114,5.076,5.63,5.208,5.746,5.178
ZINC95617641,6.028,5.844,5.982,5.531,5.463,5.85,5.295,5.867,6.246
Terazosin,5.096,5.181,5.248,5.048,5.079,5.4,4.801,5.092,5.691
