name,pChEMBL Value,ALogP,ALogP_MR,ES_Count_aaaC,ES_Count_aaCH,ES_Count_aaN,ES_Count_aaNH,ES_Count_aaO,ES_Count_aasC,ES_Count_aasN,ES_Count_dCH2,ES_Count_ddC,ES_Count_ddsN,ES_Count_dNH,ES_Count_dO,ES_Count_dsCH,ES_Count_dsN,ES_Count_dssC,ES_Count_sCH3,ES_Count_sNH2,ES_Count_sNH3,ES_Count_sOH,ES_Count_ssCH2,ES_Count_ssNH,ES_Count_ssNH2,ES_Count_ssO,ES_Count_sssCH,ES_Count_sssN,ES_Count_sssNH,ES_Count_ssssC,ES_Count_ssssN,ES_Count_tCH,ES_Count_tN,ES_Count_tsC,ES_Sum_aaaC,ES_Sum_aaCH,ES_Sum_aaN,ES_Sum_aaNH,ES_Sum_aaO,ES_Sum_aasC,ES_Sum_aasN,ES_Sum_dCH2,ES_Sum_ddC,ES_Sum_ddsN,ES_Sum_dNH,ES_Sum_dO,ES_Sum_dsCH,ES_Sum_dsN,ES_Sum_dssC,ES_Sum_sCH3,ES_Sum_sNH2,ES_Sum_sNH3,ES_Sum_sOH,ES_Sum_ssCH2,ES_Sum_ssNH,ES_Sum_ssNH2,ES_Sum_ssO,ES_Sum_sssCH,ES_Sum_sssN,ES_Sum_sssNH,ES_Sum_ssssC,ES_Sum_ssssN,ES_Sum_sssssP,ES_Sum_tCH,ES_Sum_tN,ES_Sum_tsC,IsChiral,LogD,Molecular_Mass,Molecular_Solubility,Molecular_Weight,HBA_Count,HBD_Count,NPlusO_Count,Num_AromaticBonds,Num_AromaticRings,Num_AtomClasses,Num_Atoms,Num_Bonds,Num_BridgeBonds,Num_BridgeHeadAtoms,Num_ChainAssemblies,Num_Chains,Num_ExplicitAtoms,Num_ExplicitBonds,Num_ExplicitHydrogens,Num_Fragments,Num_H_Acceptors,Num_H_Acceptors_Lipinski,Num_H_Donors,Num_H_Donors_Lipinski,Num_Hydrogens,Num_Macro_Chains,Num_Macro_Residues,Num_MesoStereoAtoms,Num_MetalAtoms,Num_NegativeAtoms,Num_PiBonds,Num_PositiveAtoms,Num_PseudoStereoAtoms,Num_RepeatUnits,Num_RingAssemblies,Num_RingBonds,Num_Rings,Num_Rings3,Num_Rings4,Num_Rings5,Num_Rings6,Num_Rings7,Num_Rings8,Num_Rings9Plus,Num_RotatableBonds,Organic_Count,Molecular_FractionalPolarSASA,Molecular_FractionalPolarSurfaceArea,Molecular_PolarSASA,Molecular_PolarSurfaceArea,Molecular_SASA,Molecular_SAVol,Molecular_SurfaceArea,BIC,CHI_0,CHI_1,CHI_2,CHI_3_C,CHI_3_CH,CHI_3_P,CHI_V_0,CHI_V_1,CHI_V_2,CHI_V_3_C,CHI_V_3_CH,CHI_V_3_P,CIC,E_ADJ_equ,E_ADJ_mag,IAC_Mean,IAC_Total,IC,JX,JY,Kappa_1,Kappa_1_AM,Kappa_2,Kappa_2_AM,Kappa_3,Kappa_3_AM,PHI,SC_0,SC_1,SC_2,SC_3_C,SC_3_CH,SC_3_P,SIC,V_ADJ_equ,V_ADJ_mag,Zagreb,Dipole_mag,Dipole_X,Dipole_Y,Dipole_Z,Jurs_DPSA_1,Jurs_DPSA_3,Jurs_FNSA_1,Jurs_FNSA_2,Jurs_FNSA_3,Jurs_FPSA_1,Jurs_FPSA_2,Jurs_FPSA_3,Jurs_PNSA_1,Jurs_PNSA_2,Jurs_PNSA_3,Jurs_PPSA_1,Jurs_PPSA_3,Jurs_RASA,Jurs_RNCG,Jurs_RNCS,Jurs_RPCG,Jurs_RPCS,Jurs_RPSA,Jurs_SASA,Jurs_TASA,Jurs_TPSA,Jurs_WNSA_1,Jurs_WNSA_2,Jurs_WNSA_3,Jurs_WPSA_1,Jurs_WPSA_3,Energy,Minimized_Energy,RadOfGyration,Strain_Energy,PMI_X,Shadow_nu,Shadow_Xlength,Shadow_XY,Shadow_XYfrac,Shadow_XZ,Shadow_XZfrac,Shadow_Ylength,Shadow_YZ,Shadow_YZfrac,Shadow_Zlength,Molecular_Volume
CHEMBL3733323,6.99,3.206,99.188,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,5,2,0,1,0,0,0,0,0,0,0,2,1.428,3.582,9.201,0,0,2.605,0,0,0,0,0,0,0,0,0,4.012,0,0,8.654,1.993,6.401,0,5.112,0,0,0,0,0,0,0,0,5.832,0,3.015,348.135,-5.252,348.827,3,3,6,11,2,24,24,25,0,0,4,4,24,25,0,1,6,6,3,3,21,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,2,0,0,0,9,24,0.197,0.213,116.81,79.3,590.111,524.18,370.97,0.67841,17.3636,11.6894,9.50073,1.06903,0,7.6265,14.574,8.23452,5.28741,0.47673,0,3.38711,1.17769,297.848,384,1.67573,75.4078,3.40726,2.26007,2.37291,20.3136,18.2713,10.8711,9.28047,6.0464,4.96131,7.06525,24,25,32,6,0,41,0.74313,245.213,282.193,114,4.93924,-0.93837,4.84928,0.00075,-352.688,73.192,0.77059,-1.63166,-0.09222,0.2294,0.18825,0.02009,502.193,-1063.35,-60.096,149.505,13.096,0.79839,0.18603,10.3654,0.17472,1.73024,0.2016,651.697,520.31,131.387,327.278,-692.98,-39.1644,97.4318,8.53462,144.73,4.44,4.06641,140.29,250.078,6.24395,21.8538,110.188,0.40821,64.1267,0.83838,12.3516,35.4057,0.81899,3.5,290.86
CHEMBL3733318,7.01,3.246,80.09,2,2,2,0,0,4,0,0,0,1,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.941,2.791,8.77,0,0,1.049,0,0,0,-0.534,0,21.78,0,0,0,3.885,0,0,0,1.368,6.174,0,0,0,0,0,0,0,0,0,0,0,0,2.791,295.084,-4.156,295.725,2,2,7,11,2,20,20,21,0,0,4,5,20,21,0,1,6,7,2,2,14,0,0,0,0,1,0,1,0,0,1,11,2,0,0,0,2,0,0,0,5,20,0.31,0.318,148.258,95.66,477.148,431.052,300.13,0.69476,14.6983,9.56207,8.44563,1.37178,0,6.69991,11.8609,6.57614,4.43812,0.50638,0,2.92069,0.99999,247.661,339.763,1.85416,63.0416,3.32192,2.50484,2.66781,16.3719,14.4198,7.31985,5.97637,3.8144,2.96699,4.30889,20,21,29,7,0,38,0.76862,193.859,226.477,100,8.83805,8.83615,0.18321,-0.00052,-346.611,66.7382,0.86308,-1.77999,-0.12413,0.13691,0.18477,0.01569,411.964,-849.618,-59.2485,65.353,7.48966,0.72638,0.20862,8.0024,0.42426,1.39192,0.27361,477.317,346.714,130.603,196.637,-405.537,-28.2803,31.1941,3.57494,34.62,-2.54,2.74209,37.16,148.793,3.7565,13.1478,81.0511,0.61021,37.6504,0.81818,10.1023,28.5792,0.80827,3.5,215.06
CHEMBL3733228,5.7,2.738,98.595,2,6,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1.471,11.115,13.412,0,0,3.769,0,0,0,0,0,0,0,0,0,5.228,0,0,0,1.38,6.586,0,10.7,0,0,0,0,0,0,0,0,0,0,2.739,339.17,-4.512,339.392,5,2,7,17,3,23,25,27,0,0,4,4,25,27,0,1,7,7,2,2,21,0,0,0,0,0,0,0,0,0,2,17,3,0,0,0,3,0,0,0,7,25,0.176,0.221,101.564,81.19,576.688,506.251,366.25,0.62008,17.6481,12.245,10.1898,1.20412,0,8.80066,14.5365,8.05205,5.35607,0.4766,0,3.72308,1.45058,339.036,444.235,1.5908,73.1769,3.19326,1.8992,2.00697,19.7531,17.066,9.79629,7.8683,5.04166,3.83756,5.37122,25,27,36,7,0,48,0.68763,265.211,310.764,126,5.65285,5.33248,1.876,0.00024,-22.2278,47.3289,0.51986,-1.10294,-0.06145,0.48013,0.40999,0.02316,290.805,-616.959,-34.3704,268.577,12.9584,0.82382,0.16331,2.86975,0.16828,1.34128,0.17617,559.382,460.832,98.5501,162.671,-345.116,-19.2262,150.237,7.24871,44.8,-4.17,3.32006,48.97,212.308,4.73386,16.1094,99.3823,0.4978,45.8716,0.83676,12.3927,34.9927,0.82974,3.403,267.53
CHEMBL3733215,6.18,3.697,97.406,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,5,1,0,0,0,0,0,0,0,0,0,4,1.29,3.486,9.07,0,0,2.237,0,0,0,0,0,0,0,0,0,1.962,0,0,17.649,1.475,3.14,0,0,0,0,0,0,0,0,0,0,11.551,0,3.807,343.109,-6.081,343.807,2,3,5,11,2,24,24,25,0,0,4,4,24,25,0,1,5,5,3,3,18,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,2,0,0,0,8,24,0.225,0.217,131.193,78.27,580.553,518.49,360.07,0.65066,17.3636,11.6894,9.50073,1.06903,0,7.6455,14.113,8.01629,5.22988,0.47673,0,3.31343,1.26102,297.848,384,1.65726,69.6051,3.32393,2.44421,2.53674,20.3136,18.0348,10.8711,9.09979,6.0464,4.84064,6.83804,24,25,32,6,0,41,0.72496,245.213,282.193,114,1.5274,0.55672,1.42233,0.00102,-272.866,83.0278,0.7083,-1.41157,-0.10998,0.29169,0.21939,0.01678,463.914,-924.517,-72.0319,191.047,10.996,0.75713,0.19836,11.0949,0.19986,1.78612,0.24286,654.961,495.892,159.068,303.845,-605.522,-47.178,125.128,7.20193,174.93,41.31,4.03989,133.62,224.46,6.33265,22.1643,110.117,0.41801,64.6847,0.83383,11.8851,33.8176,0.81296,3.5,286.74
CHEMBL3733193,5.34,4.771,102.659,4,8,3,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3.435,15.469,14.075,0,0,3.449,0,0,0,0,0,0,0,0,0,3.608,0,0,0,0.735,3.291,0,5.285,0,0,0,0,0,0,0,0,0,0,4.78,364.109,-6.842,364.828,4,1,5,22,4,26,26,29,0,0,4,4,26,29,0,1,5,5,1,1,17,0,0,0,0,0,0,0,0,0,2,22,4,0,0,0,4,0,0,0,4,26,0.14,0.165,80.4463,59.93,570.573,515.373,361.04,0.66377,18.0956,12.6902,11.1989,1.53845,0,9.90693,15.2097,8.71428,6.25051,0.6947,0,4.44131,1.16786,387.726,521.319,1.61404,69.4039,3.53257,1.88485,1.96007,19.3222,16.6947,8.56632,6.86132,4.07756,3.1037,4.40567,26,29,41,9,0,57,0.75154,285.467,339.763,140,5.12693,5.12599,0.09815,0.00025,-256.335,41.1077,0.73301,-1.28386,-0.05969,0.26698,0.20508,0.01505,403.183,-706.162,-32.8261,146.848,8.28168,0.89121,0.19849,3.02009,0.17278,1.46065,0.10878,550.031,490.198,59.8333,221.763,-388.411,-18.0554,80.7709,4.55518,55.01,-3.45,3.52427,58.46,188.412,4.62958,16.2036,102.074,0.60834,47.4909,0.83739,10.355,29.3503,0.80982,3.5,272.34
CHEMBL3733024,6.91,4.036,97.317,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,3,2,0,0,1,0,0,0,0,0,0,2,1.446,3.6,9.201,0,0,2.647,0,0,0,0,0,0,0,0,0,5.721,0,0,9.274,1.921,6.405,0,0,-0.455,0,0,0,0,0,0,0,5.899,0,3.845,332.14,-5.753,332.828,2,3,5,11,2,23,23,24,0,0,4,5,23,24,0,1,5,5,3,3,21,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,2,0,0,0,7,23,0.196,0.196,110.779,70.07,563.729,500.812,356.32,0.73413,16.8196,11.0452,9.62259,1.47728,0,7.30442,14.3289,8.08474,5.56437,0.6593,0,3.37472,0.86956,289.877,384,1.60203,70.4895,3.65399,2.39478,2.49404,19.3264,17.3258,9.4746,8.0009,5.5,4.47293,6.02706,23,24,32,7,0,40,0.80776,232.192,268.078,112,3.4681,-2.81588,2.0244,-0.01899,-439.654,59.8885,0.85828,-1.55846,-0.08733,0.14171,0.09527,0.01028,526.603,-956.197,-53.5787,86.9494,6.3098,0.8225,0.21608,11.6227,0.21326,2.11189,0.17749,613.553,504.648,108.904,323.099,-586.677,-32.8734,53.3481,3.87139,160.98,11.01,3.63004,149.97,179.911,5.47959,19.1786,104.861,0.51311,56.0929,0.83564,10.6557,30.235,0.81069,3.5,280.57
CHEMBL3732983,7.12,3.029,82.425,2,4,3,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1.428,7.024,13.222,2.783,0,3.396,0,0,0,0,0,0,0,0,0,3.582,0,0,0,0.745,3.219,0,5.22,0,0,0,0,0,0,0,0,0,0,3.026,303.089,-4.147,303.747,4,2,6,16,3,21,21,23,0,0,4,4,21,23,0,1,5,6,2,2,14,0,0,0,0,0,0,0,0,0,2,16,3,0,0,1,2,0,0,0,4,21,0.205,0.249,101.767,75.72,495.827,446.997,303.89,0.71357,14.8196,10.2239,8.86572,1.20511,0,7.72652,12.4003,6.88693,4.82079,0.54682,0,3.34905,0.85714,281.523,384,1.75169,61.3093,3.53517,2.14593,2.26491,15.879,13.7871,7.05078,5.66949,3.3471,2.55007,3.72219,21,23,32,7,0,44,0.80485,212.785,254.084,110,4.23892,4.23889,-0.01428,0.00062,-146.438,42.0258,0.6537,-1.07135,-0.06973,0.34629,0.25523,0.01849,311.4,-510.348,-33.2159,164.962,8.80989,0.85052,0.21213,3.22755,0.18013,1.43574,0.14947,476.362,405.156,71.2066,148.339,-243.111,-15.8228,78.5819,4.1967,55.89,14.32,2.83872,41.57,157.761,3.67962,12.8787,83.5172,0.65353,36.985,0.82051,9.92277,28.0153,0.80666,3.5,222.6
CHEMBL3732943,5.7,4.695,101.688,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,4,2,0,0,1,0,0,0,0,0,0,2,1.42,3.572,9.215,0,0,2.568,0,0,0,0,0,0,0,0,0,6.025,0,0,9.761,3.035,6.41,0,0,-0.638,0,0,0,0,0,0,0,5.766,0,4.494,346.156,-6.19,346.854,2,3,5,11,2,24,24,25,0,0,4,5,24,25,0,1,5,5,3,3,23,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,2,0,0,0,8,24,0.188,0.187,110.779,70.07,588.509,521.323,373.52,0.71786,17.5267,11.5832,9.76903,1.35771,0,7.75976,15.036,8.64962,5.78325,0.56802,0,3.68975,0.97957,304.062,398.93,1.57372,73.9651,3.60538,2.3801,2.47703,20.3136,18.3107,10.2222,8.7191,5.7619,4.73538,6.6522,24,25,33,7,0,42,0.78635,245.213,282.193,116,3.39086,-2.53596,2.25098,-0.00146,-542.843,59.6745,0.91751,-1.71391,-0.08314,0.08248,0.0569,0.00866,596.462,-1114.18,-54.0414,53.6188,5.63312,0.84534,0.20359,9.33677,0.20783,2.0581,0.15465,650.081,549.543,100.538,387.748,-724.307,-35.1313,34.8566,3.66198,158.43,0.39,3.80261,158.04,234.198,5.79262,20.2742,110.506,0.46676,59.9061,0.84422,11.6773,33.5585,0.82109,3.5,296.35
CHEMBL3732931,6.25,2.944,89.909,2,2,2,0,0,4,0,0,0,0,0,1,0,0,1,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1.28,3.363,9.053,0,0,2.215,0,0,0,0,0,10.762,0,0,-0.711,3.962,5.017,0,0,1.453,6.316,0,0,0,0,0,0,0,0,0,0,4.902,0,2.743,317.104,-5.228,317.773,3,3,6,11,2,22,22,23,0,0,4,5,22,23,0,1,5,6,3,4,16,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,2,0,0,0,6,22,0.292,0.281,154.648,92.93,529.58,474.755,330.61,0.69504,16.1125,10.5452,9.26903,1.47728,0,7.06283,13.0828,7.23019,4.8237,0.53566,0,3.07456,1,275.749,369.16,1.716,65.2082,3.45943,2.49127,2.60665,18.3403,15.8611,8.74089,6.96153,4.99671,3.78381,5.01897,22,23,31,7,0,39,0.77575,219.289,254.084,108,4.70648,4.7034,-0.17018,-0.00038,-475.108,67.4109,0.90725,-1.69054,-0.103,0.09274,0.07984,0.01257,529.21,-986.11,-60.0776,54.1019,7.33336,0.70438,0.17079,9.75016,0.33136,3.20135,0.29561,583.312,410.875,172.436,308.694,-575.209,-35.044,31.5583,4.27763,146.86,0.78,3.53489,146.08,193.515,5.08078,17.7827,97.9474,0.51685,51.944,0.83458,10.6568,30.1613,0.80864,3.5,253.47
CHEMBL3732863,6.26,5.377,126.827,2,11,2,0,0,7,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1.314,20.662,9.526,0,0,4.667,0,0,0,0,0,12.745,0,0,-0.151,3.555,0,0,0,1.136,6.227,0,5.3,0,0,0,0,0,0,0,0,0,0,5.377,446.151,-7.938,446.929,4,2,6,23,4,30,32,35,0,0,5,6,32,35,0,1,5,6,2,2,23,0,0,0,0,0,0,0,0,0,3,23,4,0,0,0,4,0,0,0,7,32,0.156,0.169,108.147,76.14,689.57,618.895,448.95,0.69147,22.5014,15.584,13.5666,1.81161,0,11.6418,18.6099,10.6824,7.58289,0.79904,0,5.27148,1.14859,485.59,632.156,1.59702,87.8364,3.8514,1.63141,1.6939,25.1037,21.7407,12.1094,9.76529,6.37207,4.90038,6.63451,32,35,48,10,0,64,0.77028,368.406,429.05,166,10.9935,10.933,-1.15174,-0.00036,-385.772,53.6296,0.78509,-1.85155,-0.06486,0.2149,0.20578,0.01441,531.171,-1252.7,-43.8761,145.399,9.7535,0.88305,0.14743,2.30636,0.25398,2.02432,0.11694,676.57,597.451,79.1187,359.374,-847.539,-29.6853,98.3724,6.59892,60.14,-4.26,4.7768,64.4,193.799,5.9844,20.9454,128.11,0.57897,62.0605,0.84656,10.5641,30.0757,0.81341,3.5,336.13
