name,pIC50,ALogP,ALogP_MR,ES_Count_aaaC,ES_Count_aaCH,ES_Count_aaN,ES_Count_aaO,ES_Count_aasC,ES_Count_ddsN,ES_Count_dO,ES_Count_dssC,ES_Count_sCH3,ES_Count_sNH2,ES_Count_sOH,ES_Count_ssCH2,ES_Count_ssNH,ES_Count_ssO,ES_Count_sssCH,ES_Count_sssN,ES_Count_tCH,ES_Count_tsC,ES_Sum_aaaC,ES_Sum_aasC,ES_Sum_dssC,ES_Sum_sCH3,ES_Sum_ssCH2,ES_Sum_sssCH,LogD,Molecular_Mass,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_AtomClasses,Num_Chains,Num_H_Donors_Lipinski,Num_Hydrogens,Num_Rings4,Num_Rings5,Num_Rings6,Num_RotatableBonds,Molecular_FractionalPolarSASA,Molecular_FractionalPolarSurfaceArea,Molecular_PolarSASA,Molecular_PolarSurfaceArea,BIC,CHI_3_C,CHI_3_P,CHI_V_2,CHI_V_3_C,CHI_V_3_P,CIC,IAC_Mean,IAC_Total,IC,JX,Kappa_2,Kappa_3,SIC,Dipole_mag,Dipole_X,Dipole_Y,Dipole_Z,Jurs_DPSA_1,Jurs_DPSA_3,Jurs_FNSA_1,Jurs_FNSA_2,Jurs_FNSA_3,Jurs_FPSA_2,Jurs_FPSA_3,Jurs_PNSA_1,Jurs_PNSA_2,Jurs_PNSA_3,Jurs_PPSA_1,Jurs_PPSA_3,Jurs_RASA,Jurs_RNCG,Jurs_RNCS,Jurs_RPCG,Jurs_RPCS,Jurs_SASA,Jurs_TASA,Jurs_TPSA,Jurs_WNSA_1,Jurs_WNSA_2,Jurs_WNSA_3,Jurs_WPSA_1,Jurs_WPSA_3,Energy,Minimized_Energy,RadOfGyration,Strain_Energy,PMI_X,Shadow_nu,Shadow_Xlength,Shadow_XY,Shadow_XYfrac,Shadow_XZfrac,Shadow_Ylength,Shadow_YZ,Molecular_Volume
CHEMBL1995927,8.05,3.335,79.228,2,2,2,0,4,0,0,0,3,0,0,2,2,1,0,0,0,0,1.488,2.601,0,5.616,1.561,0,3.327,280.109,-3.967,3,5,19,4,2,17,0,0,2,5,0.167,0.198,81.308,59.07,0.64432,1.06903,6.4724,4.36414,0.46349,2.92161,1.23735,1.68124,60.5247,3.01057,2.47373,7.1358,3.55555,0.70871,3.93965,3.86401,0.76824,0.00031,-276.102,37.2008,0.79294,-1.23302,-0.06431,0.14152,0.01463,373.678,-581.062,-30.3017,97.5766,6.89911,0.86534,0.22357,4.40785,0.20977,1.72262,471.255,407.796,63.4585,176.098,-273.828,-14.2798,45.9834,3.25124,37.8,3.88,2.58272,33.92,135.973,3.83564,13.4248,79.6287,0.58679,0.82679,10.1083,28.6732,219.86
CHEMBL3727376,5.74,2.021,106.19,2,2,2,0,4,0,1,1,3,0,0,7,2,2,0,1,0,0,1.461,2.644,0.259,5.217,5.619,0,2.021,373.211,-3.599,5,8,27,5,2,27,0,1,2,9,0.175,0.218,109.303,88.61,0.6625,1.40236,9.56916,6.41172,0.5351,4.5824,1.34313,1.57975,85.3068,3.41175,1.67289,10.6838,5.53846,0.71752,1.06065,0.77584,0.71602,-0.10178,-37.0864,56.4488,0.52987,-1.26348,-0.06886,0.49158,0.02209,328.85,-784.131,-42.7336,291.764,13.7152,0.77951,0.14532,2.61592,0.20492,1.63335,620.614,483.777,136.837,204.089,-486.642,-26.5211,181.073,8.51183,45.51,8.31,3.78176,37.2,261.685,4.82869,18.5437,110.108,0.44503,0.7887,13.3423,39.5379,318.64
CHEMBL3727466,5.89,2.953,98.072,2,6,3,0,5,0,0,0,3,0,0,2,2,2,0,0,0,0,1.458,3.543,0,5.22,1.303,0,2.954,339.17,-4.45,5,7,25,4,2,21,0,0,3,7,0.176,0.222,101.564,81.19,0.62008,1.20412,8.80066,5.32168,0.45004,3.67687,1.45058,1.5908,73.1769,3.19326,1.89807,9.79629,5.04166,0.68763,4.26742,4.19859,0.76334,-7.00E-05,-86.0238,47.0822,0.57655,-1.23835,-0.06112,0.38057,0.02268,323.927,-695.74,-34.3363,237.903,12.7459,0.84172,0.16131,2.83465,0.15994,1.27484,561.83,472.908,88.922,181.992,-390.888,-19.2912,133.661,7.16101,45.09,-4.17,3.3181,49.26,213.246,4.78013,16.2568,99.5978,0.49429,0.83875,12.3945,34.9759,269.59
CHEMBL3727685,5.36,2.967,106.564,2,2,2,0,4,0,0,0,3,0,0,8,2,2,0,1,0,0,1.562,2.87,0,5.303,9.031,0,1.535,359.232,-4.128,4,7,24,4,2,29,0,1,2,9,0.132,0.179,82.4638,71.54,0.62786,1.20412,9.04224,6.47613,0.51686,4.65601,1.5196,1.50496,82.7731,3.18083,1.68444,10.5186,5.5177,0.6767,9.95036,8.35516,5.39695,-0.27184,-226.264,43.3736,0.68581,-1.48494,-0.05425,0.24362,0.01699,417.553,-904.092,-33.0255,191.289,10.3481,0.86004,0.16002,2.81188,0.18492,1.4739,608.842,523.629,85.2127,254.223,-550.449,-20.1073,116.465,6.30038,47.08,10.03,3.57092,37.05,241.239,4.40216,18.402,106.573,0.43955,0.73732,13.1755,39.7775,305.61
CHEMBL3727706,6.76,3.082,108.55,2,2,2,0,4,0,0,0,3,0,0,7,2,1,0,2,0,0,1.506,2.651,0,5.81,7.053,0,2.31,378.193,-3.466,3,7,24,5,2,27,0,0,3,7,0.115,0.159,71.5583,65.55,0.69729,1.56183,9.13565,6.90551,0.84521,4.89376,1.16786,1.59678,84.6294,3.53257,1.65751,9.97229,5.5177,0.75154,10.5543,7.69099,7.22747,-0.07739,-77.3949,39.5095,0.56326,-1.19206,-0.04966,0.32872,0.01493,344.523,-729.122,-30.3717,267.128,9.13771,0.88356,0.16427,2.42901,0.19056,1.47284,611.651,540.435,71.2155,210.728,-445.968,-18.5769,163.389,5.58909,32.71,-3.41,3.59226,36.12,306.681,4.28127,18.121,107.4,0.45371,0.73176,13.0629,40.0207,313.15
CHEMBL3727770,6.72,4.539,87.572,2,5,2,0,5,0,0,0,2,0,0,1,1,1,0,0,0,0,1.512,3.835,0,3.623,0.781,0,4.537,319.055,-5.708,3,4,21,4,1,14,0,1,2,4,0.212,0.239,109.035,75.28,0.71357,1.20511,7.72652,5.75881,0.64026,4.20854,0.85714,1.7961,62.8637,3.53517,2.1488,7.05078,3.3471,0.80485,2.93372,2.80802,-0.84956,0.00059,-272.717,34.2924,0.781,-1.14267,-0.05665,0.14975,0.01402,378.989,-554.488,-27.488,106.272,6.80443,0.91725,0.23762,3.56447,0.19481,1.50571,485.26,445.107,40.1531,183.908,-269.071,-13.3388,51.5694,3.30192,53.2,8.59,2.87069,44.61,150.909,3.7224,13.4006,86.2736,0.645,0.82585,9.98142,29.2004,234.26
CHEMBL3727786,5.68,5.25,93.542,2,6,2,0,6,0,0,0,2,0,0,1,1,1,0,0,0,0,1.417,4.068,0,3.585,0.734,0,5.249,347.059,-6.448,3,4,23,5,1,15,0,0,3,4,0.122,0.139,66.2207,47.04,0.73843,1.49379,8.30364,5.7806,0.7358,3.91054,0.7826,1.69937,64.5761,3.74095,2.16853,7.92,3.9837,0.82699,3.24882,3.23095,-0.34022,0.0004,-307.019,38.4663,0.78901,-1.19818,-0.05953,0.14392,0.01289,419.087,-636.418,-31.6192,112.068,6.84706,0.92442,0.22893,3.5323,0.19448,1.5971,531.155,491.011,40.1442,222.6,-338.037,-16.7947,59.5256,3.63685,44.72,-2.57,3.09935,47.29,254.337,4.09136,14.3199,94.5731,0.56096,0.83179,11.773,33.5235,252.79
CHEMBL3727820,6.62,3.587,97.318,2,6,2,0,6,0,1,1,2,1,0,1,1,1,0,0,0,0,1.29,3.384,-0.493,3.521,0.674,0,3.587,356.104,-5.636,4,6,25,6,3,17,0,0,3,5,0.26,0.25,145.591,90.13,0.74065,1.70511,9.02482,5.77887,0.68908,3.99791,0.79999,1.71266,71.9318,3.84385,2.15949,8.79224,4.46597,0.82772,4.14942,3.98179,1.16748,0.00034,-296.345,58.7305,0.77449,-1.58362,-0.09201,0.20699,0.01679,418.075,-854.843,-49.664,121.729,9.06651,0.75648,0.17005,2.76947,0.26184,2.33994,539.804,408.352,131.452,225.678,-461.448,-26.8088,65.7099,4.89413,45,-3.21,3.32623,48.21,175.184,4.41567,15.4549,99.4874,0.60909,0.82905,10.5686,30.0883,264.79
CHEMBL3727853,6.46,3.506,114.804,2,6,3,0,5,0,0,0,1,0,0,6,1,0,0,2,0,1,1.27,2.839,0,2.155,6.016,0,2.73,407.163,-4.834,3,7,27,5,1,22,0,0,4,5,0.165,0.19,105.102,80.96,0.7045,1.69791,10.6398,7.54726,0.923,5.41009,1.04705,1.55482,79.296,3.81092,1.56723,10.5434,5.62663,0.78446,15.2433,10.7386,-10.8184,0.04244,-113.195,46.1717,0.58482,-1.2015,-0.05454,0.35981,0.01465,390.226,-801.705,-36.3912,277.031,9.78054,0.91641,0.14786,1.00256,0.15501,1.49756,667.256,611.483,55.7731,260.38,-534.943,-24.2823,184.85,6.52613,113.39,-1.29,4.16602,114.68,558.849,4.91124,19.1283,121.466,0.45401,0.78125,13.9864,42.3732,337.51
CHEMBL3727920,6.42,4.571,102.101,2,2,2,0,4,0,0,0,2,0,1,6,2,0,0,0,0,2,1.5,2.785,0,4.038,4.126,0,4.38,346.156,-6.237,2,5,24,4,3,23,0,0,2,9,0.185,0.188,110.779,70.07,0.67841,1.06903,7.6265,5.69193,0.47673,3.68714,1.17769,1.57372,73.9651,3.40726,2.27762,10.8711,6.0464,0.74313,8.11172,-7.54527,2.97809,-0.00023,-428.731,61.6287,0.82713,-1.53312,-0.08427,0.10848,0.00978,542.007,-1004.63,-55.2145,113.276,6.41423,0.8312,0.21381,11.9587,0.22847,2.26248,655.283,544.673,110.61,355.168,-658.315,-36.1811,74.2277,4.20313,150.6,5.44,4.06796,145.16,176.081,6.28311,21.9909,110.714,0.47512,0.8404,10.5961,29.9335,297.38
